"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"MN073B"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"MN073B"	"MN073B.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"MN073C"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"MN073C"	"MN073C.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"CS073A"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"CS073A"	"CS073A.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"CS073B"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"CS073B"	"CS073B.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"CS073C"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"CS073C"	"CS073C.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"AM073A"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"AM073A"	"AM073A.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"AM073B"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"AM073B"	"AM073B.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"AM073C"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"AM073C"	"AM073C.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"MN083A"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"MN083A"	"MN083A.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"MN083B"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"MN083B"	"MN083B.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"MN083C"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"MN083C"	"MN083C.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"CS083A"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"CS083A"	"CS083A.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"CS083B"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"CS083B"	"CS083B.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"CS083C"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"CS083C"	"CS083C.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"AM083A"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"AM083A"	"AM083A.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"AM083B"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"AM083B"	"AM083B.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
"AM083C"	"Extraction"	"methanol/formic acid"	""	""	"Chromatography"	"Beckman Coulter System Gold HPLC 127 pump"	""	""	"System Gold HPLC 508 autosampler"	""	""	"Alltima HP C18 (3 μm, 2.1 mm x 150 mm; Alltech)"	"reverse phase"	"Alltima HP-Guard C18 (2.1 x 7.5 mm; Alltech)"	""	""	""	""	""	""	"Mass spectrometry"	"alternating"	"50–1500"	"Bruker Esquire 6000"	""	""	"electrospray ionization"	"MS"	""	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"AM083C"	"AM083C.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_the plasticity of the grapevine berry transcriptome_metabolite profiling_mass spectrometry_v2_maf.tsv"
