Sample Name	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Array Data File	Protocol REF	Derived Array Data File
C-0.2-aliquot4	mRNA extraction	C-0.2-aliquot4	biotin labeling	C-0.2-aliquot4	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331219131.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
N-0.07-aliquot1	mRNA extraction	N-0.07-aliquot1	biotin labeling	N-0.07-aliquot1	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331219361.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
N-0.07-aliquot2	mRNA extraction	N-0.07-aliquot2	biotin labeling	N-0.07-aliquot2	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331219634.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
N-0.07-aliquot3	mRNA extraction	N-0.07-aliquot3	biotin labeling	N-0.07-aliquot3	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331219767.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
N-0.07-aliquot4	mRNA extraction	N-0.07-aliquot4	biotin labeling	N-0.07-aliquot4	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331219490.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
N-0.1-aliquot1	mRNA extraction	N-0.1-aliquot1	biotin labeling	N-0.1-aliquot1	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331220431.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
N-0.1-aliquot2	mRNA extraction	N-0.1-aliquot2	biotin labeling	N-0.1-aliquot2	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331219914.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
N-0.1-aliquot3	mRNA extraction	N-0.1-aliquot3	biotin labeling	N-0.1-aliquot3	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331220272.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
N-0.1-aliquot4	mRNA extraction	N-0.1-aliquot4	biotin labeling	N-0.1-aliquot4	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331220090.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
N-0.2-aliquot1	mRNA extraction	N-0.2-aliquot1	biotin labeling	N-0.2-aliquot1	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331221148.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
N-0.2-aliquot2	mRNA extraction	N-0.2-aliquot2	biotin labeling	N-0.2-aliquot2	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331220982.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
N-0.2-aliquot3	mRNA extraction	N-0.2-aliquot3	biotin labeling	N-0.2-aliquot3	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331220784.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
N-0.2-aliquot4	mRNA extraction	N-0.2-aliquot4	biotin labeling	N-0.2-aliquot4	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331220607.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
P-0.07-aliquot1	mRNA extraction	P-0.07-aliquot1	biotin labeling	P-0.07-aliquot1	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331221518.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
P-0.07-aliquot2	mRNA extraction	P-0.07-aliquot2	biotin labeling	P-0.07-aliquot2	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331221873.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
P-0.07-aliquot3	mRNA extraction	P-0.07-aliquot3	biotin labeling	P-0.07-aliquot3	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331221345.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
P-0.07-aliquot4	mRNA extraction	P-0.07-aliquot4	biotin labeling	P-0.07-aliquot4	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331221668.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
P-0.1-aliquot1	mRNA extraction	P-0.1-aliquot1	biotin labeling	P-0.1-aliquot1	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331222534.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
P-0.1-aliquot2	mRNA extraction	P-0.1-aliquot2	biotin labeling	P-0.1-aliquot2	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331222054.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
P-0.1-aliquot3	mRNA extraction	P-0.1-aliquot3	biotin labeling	P-0.1-aliquot3	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331222380.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
P-0.1-aliquot4	mRNA extraction	P-0.1-aliquot4	biotin labeling	P-0.1-aliquot4	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331222215.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
P-0.2-aliquot1	mRNA extraction	P-0.2-aliquot1	biotin labeling	P-0.2-aliquot1	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331222917.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
P-0.2-aliquot2	mRNA extraction	P-0.2-aliquot2	biotin labeling	P-0.2-aliquot2	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331223115.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
P-0.2-aliquot3	mRNA extraction	P-0.2-aliquot3	biotin labeling	P-0.2-aliquot3	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331223321.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
P-0.2-aliquot4	mRNA extraction	P-0.2-aliquot4	biotin labeling	P-0.2-aliquot4	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331222701.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
S-0.07-aliquot1	mRNA extraction	S-0.07-aliquot1	biotin labeling	S-0.07-aliquot1	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331223667.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
S-0.07-aliquot2	mRNA extraction	S-0.07-aliquot2	biotin labeling	S-0.07-aliquot2	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331223835.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
S-0.07-aliquot3	mRNA extraction	S-0.07-aliquot3	biotin labeling	S-0.07-aliquot3	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331223977.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
S-0.07-aliquot4	mRNA extraction	S-0.07-aliquot4	biotin labeling	S-0.07-aliquot4	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331223501.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
S-0.1-aliquot1	mRNA extraction	S-0.1-aliquot1	biotin labeling	S-0.1-aliquot1	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331224301.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
S-0.1-aliquot2	mRNA extraction	S-0.1-aliquot2	biotin labeling	S-0.1-aliquot2	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331224145.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
S-0.1-aliquot3	mRNA extraction	S-0.1-aliquot3	biotin labeling	S-0.1-aliquot3	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331224703.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
S-0.1-aliquot4	mRNA extraction	S-0.1-aliquot4	biotin labeling	S-0.1-aliquot4	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331224480.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
S-0.2-aliquot1	mRNA extraction	S-0.2-aliquot1	biotin labeling	S-0.2-aliquot1	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331224884.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
S-0.2-aliquot2	mRNA extraction	S-0.2-aliquot2	biotin labeling	S-0.2-aliquot2	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331225401.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
S-0.2-aliquot3	mRNA extraction	S-0.2-aliquot3	biotin labeling	S-0.2-aliquot3	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331225097.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
S-0.2-aliquot4	mRNA extraction	S-0.2-aliquot4	biotin labeling	S-0.2-aliquot4	biotin	CHEBI	http://purl.obolibrary.org/obo/CHEBI_15956	EukGE-WS4	unknown	E-MEXP-115-raw-data-331225235.txt	unknown	E-MEXP-115-processed-data-1341986893.txt
